symbol,price,avg_volume,adv_usd,meets_criteria
KLAC,1135.585,879384.4545454546,885282702.2231818,True
T,27.035,29930241.545454547,864682988.5197728,True
PYPL,67.575,12704535.045454545,861739223.063182,True
MS,154.22,5420956.090909091,848564235.9113637,True
CMG,39.7,21414146.40909091,848407211.6872729,True
GILD,109.646,7472169.0,846787219.201909,True
EA,201.08,4520689.0,840049354.3099998,True
LIN,467.74,1749274.7272727273,831674116.835909,True
ETN,373.445,2210111.5454545454,807273279.2602273,True
CMCSA,30.4592,24871596.363636363,803006273.0712546,True
SPGI,479.05,1541491.5454545454,786634820.920909,True
VZ,43.305,17629447.772727273,769400803.2843181,True
AMGN,297.04,2722531.3636363638,766919859.9634092,True
SBUX,86.655,8886236.863636363,749420859.3681818,True
ABT,131.88,5513517.7272727275,735721502.6963636,True
LOW,247.28,2782537.727272727,732878566.1968181,True
COF,211.1601,3293133.9545454546,729886683.0742227,True
NEE,78.02,9933339.272727273,721216475.4372725,True
UPS,86.15,8473337.954545455,714439115.9536364,True
BMY,46.695,15469529.409090908,706345200.021591,True
DE,459.185,1478400.2272727273,693108677.9456818,True
RTX,166.225,4226770.636363637,673120860.1036363,True
ADI,242.38,2692390.272727273,662013346.8940909,True
CDNS,351.24,1843646.9090909092,653853613.3018181,True
COP,94.3807,6927688.5,651305026.1901546,True
TJX,142.75,4590026.363636363,647090952.4536363,True
VRTX,409.69,1640009.6363636365,639518794.9115908,True
AMT,191.1,3258023.727272727,633140522.8395454,True
SHW,343.11,1755595.8181818181,623771901.9868182,True
REGN,601.345,1085920.2727272727,623715711.3770455,True
ELV,337.44,1953680.3636363635,617391398.58,True
LMT,499.855,1279270.2272727273,607403055.4325,True
BLK,1140.97,535841.2272727273,606509193.8536364,True
SLB,34.355,16942525.727272727,594207994.0127271,True
DDOG,151.455,4195266.136363637,584765311.5963637,True
AZO,4236.4725,133320.81818181818,560951373.7318181,True
CVS,77.04,7455717.636363637,553879000.2872727,True
CHTR,273.97,2075474.9090909092,553164844.121591,True
HUM,245.72,2037936.1818181819,549528126.7027272,True
DLTR,89.18,5491249.5,533315500.9290909,True
MO,65.7,8077703.954545454,529091065.4972727,True
MCK,762.105,727122.9545454546,526353464.3497727,True
ICE,161.025,3037629.090909091,518058983.2518181,True
COR,310.605,1738175.7727272727,516421494.0795454,True
ORLY,104.535,4882555.681818182,514166520.5888636,True
VLO,164.965,3085394.227272727,506297220.57318175,True
FTNT,85.654,6110960.318181818,499903586.14395446,True
ZS,303.84,1734504.9090909092,493279342.12863654,True
NET,218.5,2225632.1818181816,488840821.6368182,True
CME,263.76,1810950.8636363635,478599633.97681826,True
USB,47.75,9620196.227272727,473360622.89363635,True
OXY,44.815,10067035.909090908,468621038.55818176,True
SO,93.87,4913115.090909091,455532009.12318176,True
MDLZ,62.145,7095777.909090909,444733398.1270456,True
CL,78.7675,5440947.090909091,444012894.3262501,True
MCHP,66.1,6826457.545454546,442616368.549091,True
CI,295.9975,1401853.4090909092,413444683.67784095,True
MMM,157.67,2621562.090909091,407094135.8395454,True
EMR,132.485,3007618.6818181816,395730791.2397728,True
ECL,271.72,1463990.3636363635,394839092.61727273,True
EOG,111.7561,3343537.3636363638,389460291.4531227,True
PH,755.25,512274.0909090909,386886260.6286363,True
EQIX,770.95,491720.7727272727,385274734.7695455,True
PSX,134.6,2862780.590909091,380930780.21999997,True
PLD,115.03,3319514.1363636362,377508400.07818186,True
ROST,155.57,2444053.227272727,364277606.1372728,True
CCI,95.49,3750691.5,355490643.21954536,True
CMI,428.735,853098.5454545454,353440972.44909096,True
TFC,45.34,7637049.2727272725,348785469.66272724,True
MPC,192.14,1872108.0,348582654.8181819,True
MAR,262.61,1314479.3181818181,347872831.7027273,True
DG,100.41,3167137.272727273,330810672.90227264,True
DUK,121.73,2621560.909090909,319111178.2918182,True
BK,106.09,2943894.4545454546,315075231.2527272,True
HAL,24.685,13411146.5,312131309.5536364,True
GIS,50.265,6207704.409090909,310308336.5763636,True
KMB,122.97,2452892.590909091,308244694.66818184,True
FIS,66.235,4558456.909090909,302096726.39204544,True
APD,274.02,1017640.8181818182,285063542.78181815,True
PNC,197.58,1389323.2727272727,282210837.7704545,True
K,82.29,3551524.909090909,281935815.7590909,True
D,61.1,4702282.090909091,280933401.9686364,True
YUM,151.265,1888406.9545454546,280391417.0186363,True
EXC,44.925,5759501.090909091,252019077.34681818,True
HSY,188.725,1328485.0909090908,250367114.68454552,True
NUE,137.77,1807232.8636363635,250223267.1136364,True
PSA,288.425,845726.2272727273,242081976.9465909,True
DD,79.655,3071751.9545454546,237422361.05181825,True
SJM,107.95,2131423.909090909,230789356.64772728,True
ITW,259.6,797088.8181818182,209116031.81954545,True
CAG,19.055,10932846.454545455,205067037.01613638,True
STT,113.62,1629522.4090909092,184155099.42,True
NTRS,131.67,1181995.1363636365,154237597.24681818,True
